CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
50090875,DUNKIN' / BASKIN ROBBINS,Brooklyn,1621,AVENUE U,11229.0,7189752565,Donuts,12/31/2025,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,34.0,,,08/27/2026,Cycle Inspection / Initial Inspection,40.59897006338,-73.95519659321,315.0,48.0,58000.0,3198174.0,3073210040.0,BK44,POINT (-73.955196593208 40.598970063379)
50119224,POPEYES,Queens,102-18,ROOSEVELT AVENUE,11368.0,3478134940,Chicken,12/31/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.7497453371,-73.86377571855,404.0,21.0,40500.0,4596242.0,4019740002.0,QN26,POINT (-73.863775718545 40.749745337097)
50001254,JUICE GENERATION,Manhattan,2345,BROADWAY,10024.0,2127990920,"Juice, Smoothies, Fruit Salads",12/31/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.78792382669,-73.97683750638,107.0,6.0,17100.0,1081052.0,1012330011.0,MN12,POINT (-73.976837506379 40.787923826688)
50116687,No. 1 CHINESE,Staten Island,209,PORT RICHMOND AVENUE,10302.0,7188161836,Chinese,12/31/2025,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,9.0,,,08/27/2026,Cycle Inspection / Initial Inspection,40.63620408062,-74.13462967289,501.0,49.0,20700.0,5024024.0,5010240050.0,SI28,POINT (-74.134629672892 40.636204080619)
40931569,JOE'S PIZZA,Bronx,703,EAST  233 STREET,10466.0,7182319150,Pizza,12/31/2025,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,33.0,,,08/27/2026,Cycle Inspection / Initial Inspection,40.89331201187,-73.8570457408,212.0,11.0,43400.0,2068166.0,2049970058.0,BX62,POINT (-73.857045740803 40.893312011873)
50152613,ORANGE MOON CAFE,Manhattan,1045,1 AVENUE,10022.0,3479354191,Coffee/Tea,12/31/2025,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,24.0,,,08/27/2026,Cycle Inspection / Initial Inspection,40.75845245116,-73.96282796711,106.0,5.0,10800.0,1040014.0,1013507501.0,MN19,POINT (-73.96282796711 40.758452451156)
50137954,MORNING BAKERY,Queens,40-30,UNION STREET,11354.0,9293290888,Bakery Products/Desserts,12/31/2025,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,13.0,A,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.75961128458,-73.82611707124,407.0,20.0,85300.0,4113562.0,4050190080.0,QN22,POINT (-73.826117071242 40.759611284583)
50143179,TRUCK STOP KITCHEN,Queens,245-01,FRANCIS LEWIS BOULEVARD,11422.0,7183169720,Caribbean,12/31/2025,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,16.0,,,08/27/2026,Cycle Inspection / Initial Inspection,40.6648325405,-73.73494619978,413.0,31.0,65400.0,4289364.0,4136140001.0,QN05,POINT (-73.734946199782 40.664832540499)
50056957,NEUBERGER BERMAN EDR,Manhattan,1290,AVENUE OF THE AMERICAS,10119.0,3474974546,American,12/31/2025,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.76085010855,-73.97971672207,105.0,4.0,10400.0,1034510.0,1012670001.0,MN17,POINT (-73.979716722068 40.760850108553)
50118433,COLD STONE CREAMERY,Brooklyn,2123,RALPH AVENUE,11234.0,1917559947,Frozen Desserts,12/31/2025,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,26.0,,,08/27/2026,Cycle Inspection / Initial Inspection,40.62557106903,-73.91788999055,318.0,46.0,69601.0,3326929.0,3083440001.0,BK45,POINT (-73.917889990549 40.62557106903)
50070471,MCDONALDS # 18093,Manhattan,354,WEST  125 STREET,10027.0,3472970243,Hamburgers,12/31/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.81087631995,-73.95288951334,109.0,9.0,20901.0,1059300.0,1019510051.0,MN09,POINT (-73.952889513336 40.810876319954)
50116434,THANK YOU DONUTS & CORN DOGS,Queens,221-06,HORACE HARDING EXPRESSWAY,11364.0,9172576871,Korean,12/31/2025,Violations were cited in the following area(s).,03A,"Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.",Critical,19.0,,,08/27/2026,Cycle Inspection / Initial Inspection,40.7491693203,-73.75625701514,411.0,23.0,137700.0,4163157.0,4076440033.0,QN42,POINT (-73.756257015143 40.749169320301)
50115037,STARBUCKS,Manhattan,485,5 AVENUE,10017.0,2126159700,Coffee/Tea,12/31/2025,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,8.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.75300584124,-73.98121338646,105.0,4.0,8200.0,1035330.0,1012760001.0,MN20,POINT (-73.981213386463 40.753005841239)
50147091,LITTLE MAVEN,Manhattan,30,WEST   18 STREET,10011.0,2488906233,American,12/31/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.73897045007,-73.99294162435,105.0,3.0,5400.0,1087261.0,1008190059.0,MN13,POINT (-73.992941624354 40.738970450066)
41511660,EL ECONOMICO RESTAURANT,Bronx,5589,BROADWAY,10463.0,7186015577,Latin American,12/31/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.87917658202,-73.90461506477,208.0,11.0,28900.0,2083159.0,2057040042.0,BX29,POINT (-73.904615064772 40.879176582016)
50125040,ROSE CAKE HOUSE,Queens,43-27,MAIN STREET,11355.0,7187990811,Bakery Products/Desserts,12/31/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.7517312596,-73.82624599773,407.0,20.0,79701.0,4311740.0,4051400056.0,QN22,POINT (-73.826245997729 40.751731259603)
50049918,CAPY,Queens,92-11,JAMAICA AVENUE,11421.0,7188802509,Bakery Products/Desserts,12/31/2025,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,11.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.69333255352,-73.85305508618,409.0,32.0,1400.0,4182099.0,4088700051.0,QN53,POINT (-73.853055086178 40.693332553518)
41630060,"DUNKIN', BASKIN ROBBINS",Bronx,2172,WESTCHESTER AVENUE,10462.0,7189181235,Coffee/Tea,12/31/2025,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,9.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.83411046173,-73.85237435961,209.0,18.0,9200.0,2094867.0,2038140046.0,BX59,POINT (-73.852374359612 40.834110461731)
50104552,GOLDEN DRAGON KITCHEN,Queens,34-06,31 AVENUE,11106.0,7187778251,Chinese,12/31/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.76311379239,-73.92093257682,401.0,22.0,6100.0,4008964.0,4006240040.0,QN70,POINT (-73.920932576817 40.763113792388)
50119782,DOS TOROS,Manhattan,1290,AVENUE OF THE AMERICAS,10119.0,3473057765,Mexican,12/31/2025,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,11.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.76085010855,-73.97971672207,105.0,4.0,10400.0,1034510.0,1012670001.0,MN17,POINT (-73.979716722068 40.760850108553)
50123254,NICE CHINATOWN,Brooklyn,1411,FOSTER AVENUE,11230.0,9173752552,Chinese,12/31/2025,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,8.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.63373305323,-73.96376239311,314.0,45.0,52000.0,3121165.0,3052350033.0,BK42,POINT (-73.963762393114 40.633733053227)
41463516,MCDONALD'S,Manhattan,404,EAST   14 STREET,10009.0,2125980045,Hamburgers,12/31/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.73121808087,-73.98225870142,103.0,2.0,3400.0,1006012.0,1004417502.0,MN22,POINT (-73.982258701416 40.731218080873)
41670224,GYRO KING,Brooklyn,984,CONEY ISLAND AVENUE,11230.0,7184216600,Bangladeshi,12/31/2025,Establishment re-opened by DOHMH.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,Z,12/31/2025,08/27/2026,Cycle Inspection / Reopening Inspection,40.6335337055,-73.96714918403,314.0,40.0,48200.0,3128000.0,3054250079.0,BK42,POINT (-73.967149184025 40.633533705504)
41264387,CUENCA COFFEE SHOP RESTAURANT,Queens,95-29,JAMAICA AVENUE,11421.0,7188474642,Latin American,12/31/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,25.0,B,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.69444227917,-73.8494681055,409.0,32.0,2200.0,4182440.0,4088830083.0,QN53,POINT (-73.8494681055 40.694442279171)
50071542,NEW MAURICE DELI,Queens,59-04,55 DRIVE,11378.0,6462699959,American,12/31/2025,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,24.0,,,08/27/2026,Cycle Inspection / Initial Inspection,40.72604492542,-73.908713558,405.0,30.0,53100.0,4311331.0,4026880010.0,QN30,POINT (-73.908713558003 40.726044925415)
50087762,STOCKED CAFE & BURGERS,Brooklyn,663,WASHINGTON AVENUE,11238.0,7188725304,Soups/Salads/Sandwiches,12/31/2025,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.67732561043,-73.96366290516,308.0,35.0,20500.0,3028590.0,3011540011.0,BK64,POINT (-73.963662905155 40.677325610432)
50109390,OCEAN BAY,Queens,83-02,QUEENS BOULEVARD,11373.0,7188981188,Chinese,12/31/2025,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,24.0,,,08/27/2026,Cycle Inspection / Initial Inspection,40.73728867219,-73.88016939017,404.0,30.0,47500.0,4057288.0,4024760012.0,QN29,POINT (-73.880169390169 40.737288672192)
50099701,BOOK CLUB BAR,Manhattan,197,EAST    3 STREET,10009.0,6466784160,Coffee/Tea,12/31/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.72292084472,-73.98354526141,103.0,2.0,3200.0,1005000.0,1003990039.0,MN22,POINT (-73.983545261413 40.722920844715)
50171207,NOURISH CAFE,Bronx,141,ALEXANDER AVENUE,10454.0,7183442930,Coffee/Tea,12/31/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13.0,A,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.80737976466,-73.92710378421,201.0,8.0,1900.0,2000000.0,2023090023.0,BX39,POINT (-73.927103784206 40.807379764664)
50088953,AZOGUENITA BAKERY,Queens,37-61,103 STREET,11368.0,7184240119,Latin American,12/31/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.75277329637,-73.86418457571,403.0,21.0,40500.0,4044327.0,4017690074.0,QN26,POINT (-73.864184575712 40.752773296373)
41697878,HAMILTON'S,Brooklyn,2826,FORT HAMILTON PARKWAY,11218.0,7184380488,American,12/31/2025,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,12.0,A,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.64904410318,-73.97690032141,307.0,39.0,50000.0,3123994.0,3053180001.0,BK40,POINT (-73.97690032141 40.649044103178)
50127581,MOUETTE,Brooklyn,2633,OCEAN AVENUE,11229.0,9294102299,Eastern European,12/31/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21.0,,,08/27/2026,Cycle Inspection / Initial Inspection,40.59715951956,-73.95097757737,315.0,48.0,59401.0,3000000.0,3073810001.0,BK17,POINT (-73.950977577373 40.597159519557)
40391032,KABAB CAFE,Queens,25-12,STEINWAY STREET,11103.0,7187289858,Egyptian,12/31/2025,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,15.0,B,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.76757850467,-73.91200300407,401.0,22.0,14300.0,4010277.0,4006540067.0,QN70,POINT (-73.912003004071 40.767578504673)
50116049,NENE'S DELI TAQUERIA,Brooklyn,14,STARR STREET,11221.0,3478815073,Mexican,12/31/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.70032905826,-73.92780553818,304.0,34.0,42300.0,3326268.0,3031960010.0,BK78,POINT (-73.927805538175 40.700329058264)
50001867,SOCIETE GENERAL,Manhattan,245,PARK AVENUE,10167.0,2122787999,American,12/31/2025,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,10.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.75481908897,-73.97568321334,105.0,4.0,9200.0,1036205.0,1013010001.0,MN19,POINT (-73.97568321334 40.754819088973)
50133248,DRAGON KING RESTAURANT,Queens,131-23,ROCKAWAY BOULEVARD,11420.0,6319035555,Chinese,12/31/2025,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,13.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.67486893729,-73.80711285261,410.0,28.0,18000.0,4253036.0,4116950013.0,QN55,POINT (-73.807112852609 40.674868937288)
41698238,MCDONALD'S,Bronx,3550,CONNER STREET,10475.0,7189942083,Hamburgers,12/31/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.88529230497,-73.82732411737,212.0,12.0,46202.0,2087712.0,2052810005.0,BX13,POINT (-73.827324117369 40.885292304968)
40399099,STARBUCKS,Manhattan,1445,1 AVENUE,10021.0,2124727784,Coffee/Tea,12/31/2024,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,13.0,A,12/31/2024,08/27/2026,Cycle Inspection / Re-inspection,40.76984569166,-73.95451438349,108.0,5.0,13400.0,1045148.0,1014500023.0,MN31,POINT (-73.95451438349 40.769845691663)
50149307,C&B LUNCHEONETTE,Queens,983,WYCKOFF AVENUE,11385.0,6463382947,American,12/31/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12.0,A,12/31/2024,08/27/2026,Cycle Inspection / Initial Inspection,40.69618438395,-73.90511228428,405.0,34.0,55500.0,4085607.0,4035510007.0,QN20,POINT (-73.905112284277 40.696184383951)
50143567,GATHER,Manhattan,54,ORCHARD STREET,10002.0,2232354236,Armenian,12/31/2024,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,12/31/2024,08/27/2026,Cycle Inspection / Initial Inspection,40.71667183293,-73.99095994438,103.0,1.0,1600.0,1004000.0,1003090006.0,MN27,POINT (-73.99095994438 40.716671832932)
50133208,DRAGON STAR,Bronx,670,EAST  233 STREET,10466.0,7183255564,Chinese,12/31/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,11.0,A,12/31/2024,08/27/2026,Cycle Inspection / Re-inspection,40.89377230226,-73.85860006457,212.0,11.0,42000.0,2063299.0,2048350070.0,BX44,POINT (-73.858600064568 40.893772302258)
40535467,CHIU HONG BAKERY,Manhattan,161,MOTT STREET,10013.0,2129667664,Bakery Products/Desserts,12/31/2024,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,11.0,A,12/31/2024,08/27/2026,Cycle Inspection / Initial Inspection,40.71957334864,-73.99628064459,102.0,1.0,4100.0,1006990.0,1004710049.0,MN24,POINT (-73.996280644592 40.719573348644)
50130100,CARVEL / CINNABON,Queens,58-24,MYRTLE AVENUE,11385.0,7183862258,Frozen Desserts,12/31/2024,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,26.0,,,08/27/2026,Cycle Inspection / Initial Inspection,40.70047921465,-73.90099114593,405.0,34.0,55700.0,4086267.0,4035740036.0,QN20,POINT (-73.900991145925 40.700479214649)
